snapshot date,snapshot timestamp,event id,event name,event datetime,venue,listings counted,low price,median price,high price,currency,stubhub url,median method
20260227,2026-02-27 15:07:18 EST,158891615,Big Ten Women's Basketball Tournament - Session 7,2026-03-08T14:15:00,Gainbridge Fieldhouse,240,43.39,82.90,1138.10,USD,https://www.stubhub.com/big-ten-women-s-basketball-tournament-indianapolis-tickets-3-8-2026/event/158891615/,histogram-weighted-midpoint
20260227,2026-02-27 17:04:59 EST,158891615,Big Ten Women's Basketball Tournament - Session 7,2026-03-08T14:15:00,Gainbridge Fieldhouse,269,43.39,82.90,1138.10,USD,https://www.stubhub.com/big-ten-women-s-basketball-tournament-indianapolis-tickets-3-8-2026/event/158891615/,histogram-weighted-midpoint
20260227,2026-02-27 19:17:12 EST,158891615,Big Ten Women's Basketball Tournament - Session 7,2026-03-08T14:15:00,Gainbridge Fieldhouse,245,40.23,83.29,1050.09,USD,https://www.stubhub.com/big-ten-women-s-basketball-tournament-indianapolis-tickets-3-8-2026/event/158891615/,histogram-weighted-midpoint
20260227,2026-02-27 21:48:04 EST,158891615,Big Ten Women's Basketball Tournament - Session 7,2026-03-08T14:15:00,Gainbridge Fieldhouse,248,43.39,82.90,1138.10,USD,https://www.stubhub.com/big-ten-women-s-basketball-tournament-indianapolis-tickets-3-8-2026/event/158891615/,histogram-weighted-midpoint
20260227,2026-02-27 23:26:09 EST,158891615,Big Ten Women's Basketball Tournament - Session 7,2026-03-08T14:15:00,Gainbridge Fieldhouse,248,43.39,82.90,1138.10,USD,https://www.stubhub.com/big-ten-women-s-basketball-tournament-indianapolis-tickets-3-8-2026/event/158891615/,histogram-weighted-midpoint
20260228,2026-02-28 01:08:16 EST,158891615,Big Ten Women's Basketball Tournament - Session 7,2026-03-08T14:15:00,Gainbridge Fieldhouse,248,43.39,82.90,1138.10,USD,https://www.stubhub.com/big-ten-women-s-basketball-tournament-indianapolis-tickets-3-8-2026/event/158891615/,histogram-weighted-midpoint
20260228,2026-02-28 03:05:33 EST,158891615,Big Ten Women's Basketball Tournament - Session 7,2026-03-08T14:15:00,Gainbridge Fieldhouse,246,41.49,83.13,1085.30,USD,https://www.stubhub.com/big-ten-women-s-basketball-tournament-indianapolis-tickets-3-8-2026/event/158891615/,histogram-weighted-midpoint
20260228,2026-02-28 05:04:12 EST,158891615,Big Ten Women's Basketball Tournament - Session 7,2026-03-08T14:15:00,Gainbridge Fieldhouse,246,43.39,82.90,1138.10,USD,https://www.stubhub.com/big-ten-women-s-basketball-tournament-indianapolis-tickets-3-8-2026/event/158891615/,histogram-weighted-midpoint
20260228,2026-02-28 07:06:52 EST,158891615,Big Ten Women's Basketball Tournament - Session 7,2026-03-08T14:15:00,Gainbridge Fieldhouse,246,41.49,83.13,1085.30,USD,https://www.stubhub.com/big-ten-women-s-basketball-tournament-indianapolis-tickets-3-8-2026/event/158891615/,histogram-weighted-midpoint
20260228,2026-02-28 09:04:52 EST,158891615,Big Ten Women's Basketball Tournament - Session 7,2026-03-08T14:15:00,Gainbridge Fieldhouse,246,43.39,82.90,1138.10,USD,https://www.stubhub.com/big-ten-women-s-basketball-tournament-indianapolis-tickets-3-8-2026/event/158891615/,histogram-weighted-midpoint
